isocode,year,CKON,GKON,IKON,EXPK,IMPK,CCUR,GCUR,ICUR,EXPC,IMPC,XRAT,POP
ABW,yr1950,,,,,,,,,,,,
ABW,yr1951,,,,,,,,,,,,
ABW,yr1952,,,,,,,,,,,,
ABW,yr1953,,,,,,,,,,,,
ABW,yr1954,,,,,,,,,,,,
ABW,yr1955,,,,,,,,,,,,
ABW,yr1956,,,,,,,,,,,,
ABW,yr1957,,,,,,,,,,,,
ABW,yr1958,,,,,,,,,,,,
ABW,yr1959,,,,,,,,,,,,
ABW,yr1960,,,,,,,,,,,,
ABW,yr1961,,,,,,,,,,,,
ABW,yr1962,,,,,,,,,,,,
ABW,yr1963,,,,,,,,,,,,
ABW,yr1964,,,,,,,,,,,,
ABW,yr1965,,,,,,,,,,,,
ABW,yr1966,,,,,,,,,,,,
ABW,yr1967,,,,,,,,,,,,
ABW,yr1968,,,,,,,,,,,,
ABW,yr1969,,,,,,,,,,,,
ABW,yr1970,,,,,,,,,,,,
ABW,yr1971,,,,,,,,,,,,
ABW,yr1972,,,,,,,,,,,,
ABW,yr1973,,,,,,,,,,,,
ABW,yr1974,,,,,,,,,,,,
ABW,yr1975,,,,,,,,,,,,
ABW,yr1976,,,,,,,,,,,,
ABW,yr1977,,,,,,,,,,,,
ABW,yr1978,,,,,,,,,,,,
ABW,yr1979,,,,,,,,,,,,
ABW,yr1980,,,,,,,,,,,,
ABW,yr1981,,,,,,,,,,,,
ABW,yr1982,,,,,,,,,,,,
ABW,yr1983,,,,,,,,,,,,
ABW,yr1984,,,,,,,,,,,,
ABW,yr1985,,,,,,,,,,,,
ABW,yr1986,,,,,,,,,,,,
ABW,yr1987,,,,,,,,,,,,
ABW,yr1988,,,,,,,,,,,,
ABW,yr1989,,,,,,,,,,,,
ABW,yr1990,,,,,,,,,,,,
ABW,yr1991,,,,,,,,,,,,
ABW,yr1992,,,,,,,,,,,,
ABW,yr1993,,,,,,,,,,,,
ABW,yr1994,,,,,,,,,,,,
ABW,yr1995,,,,,,,,,,,,
ABW,yr1996,,,,,,,,,,,,
ABW,yr1997,,,,,,,,,,,1.789999962,89000
ABW,yr1998,,,,,,,,,,,1.789999962,94000
ABW,yr1999,,,,,,,,,,,1.789999962,98000
ABW,yr2000,,,,,,,,,,,1.789999962,101000
ADO,yr1950,,,,,,,,,,,,
ADO,yr1951,,,,,,,,,,,,
ADO,yr1952,,,,,,,,,,,,
ADO,yr1953,,,,,,,,,,,,
ADO,yr1954,,,,,,,,,,,,
ADO,yr1955,,,,,,,,,,,,
ADO,yr1956,,,,,,,,,,,,
